indice_tiempo,afganistan,albania,argelia,angola,argentina,armenia,aruba,australia,austria,azerbaiyan,bahamas,bahrein,bangladesh,barbados,belarus,belgica,belice,benin,islas_bermudas,bolivia,bosnia_herzegovina,botswana,brasil,islas_virgenes_britanicas,brunei_darussalam,bulgaria,burkina_faso,burundi,cabo_verde,camboya,camerun,canada,islas_caiman,republica_centroafricana,chad,chile,china,china_rae_de_hong_kong,china_rae_de_macao,china_provincia_de_taiwan,colombia,congo,islas_cook,costa_rica,cote_divoire,croacia,curazao,chipre,czechia,checoslovaquia,rep_dem_del_congo,dinamarca,republica_dominicana,ecuador,egipto,el_salvador,guinea_ecuatorial,estonia,fiyi,finlandia,francia,polinesia_frances,gabon,gambia,georgia,alemania,ghana,grecia,guatemala,guinea,guinea_bissau,guayana,haiti,honduras,hungria,islandia,india,indonesia,iran,irak,irlanda,israel,italia,jamaica,japon,jordan,kazakhstan,kenia,kiribati,rep_de_corea,kuwait,kirguistan,lao,letonia,libano,liberia,libia,lituania,luxemburgo,madagascar,malawi,malasia,mali,malta,mauritania,mauricio,mejico,mongolia,montenegro,marruecos,mozambique,namibia,paises_bajos,antillas_holandesas,nueva_caledonia,nueva_zelanda,nicaragua,niger,nigeria,noruega,oman,pakistan,panama,papua_nueva_guinea,paraguay,peru,filipinas,polonia,portugal,katar,republica_de_moldova,rumania,federacion_rusa,ruanda,santo_tome_principe,arabia_saudita,senegal,serbia,serbia_montenegro,seychelles,sierra_leona,singapur,sint_maarten,eslovaquia,eslovenia,islas_salomon,sudafrica,espanna,sri_lanka,estado_de_palestina,suriname,swazilandia,suecia,suiza,tailandia,tfyr_de_macedonia,timor_oriental,tonga,trinidad_tobago,tunez,turquia,uganda,ucrania,emiratos_arabes_unidos,reino_unido,estados_unidos,uruguay,venezuela,viet_nam,yemen,zambia,zimbabue
1980-01-01,9.0,,348.67,37.42,678.0,,,1866.223965,239.3,,4.0999999,-418.04,8.5099999,2.7999999,,1544.78,,4.32,,47.0,,111.55,1910.2,-1.1399999,-19.57,,0.02,4.5999999,,1.0,129.828,5807.29033,19.5599999,5.3399999,-0.43,213.1999999,57.0,710.2014093,,166.0,157.1399999,40.0321847,,52.65902,94.6599999,,,84.9699999,,,109.62,104.12,92.7,70.0,548.2899999,5.8799999,,,36.3299999,24.35402008,3328.241653,,31.52,0.28,,,15.6,672.0,110.7,0.56,,0.59,13.0,5.7999999,,22.3,79.1599999,,80.9099999,1.53,286.4499999,9.0,576.58,27.6999999,278.0,33.8299999,,78.9699999,,47.1,0.83,,,,-12.16,71.92,-1089.34,,,-0.79,9.48,933.8999999,2.37,26.6299999,27.09,1.1699999,2099.301,,,89.42,4.36,,2518.726852,35.0,,334.0865703,12.5333333,49.1199999,-738.87,59.82,98.4369999,63.63,,75.5236,29.789,27.0,114.0,10.0,57.19834424,10.84,,,,16.42,,-3192.31,14.48,,,9.5199999,-18.6703,1235.75,,,,2.41,-10.3,1492.7,42.8999999,,18.1,26.4499999,250.91,,188.994,,,,143.416,246.4799999,18.0,4.0,,97.64,10122.8,16918.0,289.5,80.1749999,1.6666666,,61.75,1.6
1981-01-01,0.18,,13.21,49.0499999,837.0,,,2346.546543,327.5199999,,34.3999999,4.15,5.36,8.4,,1386.45,-2.0,2.0899999,,75.7,,88.4399999,2521.9,,-11.1099999,,2.43,11.08,,,135.3909999,661.434136,97.12,5.78,-0.11,383.0,265.0,2062.785582,,151.0,265.0,30.8430028,,69.60102,32.75,,,78.2999999,,,69.6299999,99.4539999,79.7,60.0,752.57,-5.7199999,-0.18,,36.25,79.61558647,2426.068421,0.13,54.5799999,2.2799999,,,16.26,520.0,127.0999999,-1.31,,-1.78,8.3399999,-3.6,,53.0,91.92,,28.2199999,4.12,203.4499999,80.0,1127.03,-11.5,189.0,140.81,,14.15,,155.0999999,1.21,,,,1.6599999,287.9499999,-744.13,,,-0.8,1.12,1264.69,3.68,39.0499999,12.44,0.67,3075.9,,,58.5799999,0.37,,1883.443117,15.111,,176.9619792,-0.03,-6.11,542.327,684.9016728,62.536,108.09,303.1999999,86.1792999,38.573,125.0,243.0,18.0,62.72145484,3.7799999,,,,18.03,,6498.14,34.3699999,,,10.07,7.5058299,1659.97,,,,0.23,65.0,1706.77,50.2,,61.7,37.0799999,181.12,,288.9939999,,,,183.292,327.22,95.0,,,-16.94,5879.38,25195.0,48.6,163.362,17.91,,-38.4099999,3.6
1982-01-01,0.1,,-53.57,115.81,227.0,,,2286.32173,207.9199999,,2.7999999,28.46,6.96,4.5999999,,1472.18,,-0.01,,31.1,,21.07,3115.2,2.5299999,6.21,,1.95,0.9,,,111.44,124.0141684,19.93,9.15,-0.12,400.8,430.0,1236.856768,0.26,104.0,366.0,35.3493241,,28.9000099,47.4699999,,,71.5199999,,,-2.37,133.8499999,-1.3999999,40.0,293.5699999,-1.0,0.45,,36.8299999,-2.801182216,1559.014352,5.0,131.74,0.27,,,16.3,436.0,77.0999999,-0.4,,4.4299999,7.08,13.8,,35.7999999,72.0799999,,-136.09,2.4199999,242.0099999,21.0,617.1799999,-15.8,439.0,59.43,,13.0,,120.9,-0.09,,,,-0.67,312.87,-391.8199999,,,-0.09,6.0,1397.2,1.52,20.87,14.97,1.7,1900.298,,,79.53,1.9299999,,1156.743835,-153.889,,274.6489971,9.9666666,28.2199999,430.6109999,425.4705974,182.108,63.8299999,366.6,85.8880999,36.706,48.0,193.0,14.0,60.47871354,3.71,,,,20.6999999,,11128.4,28.0599999,,,10.01,4.68252,1601.85,,,,1.03,329.6999999,1782.69,63.6,,-11.1,-13.63,394.1355583,,187.994,,,,210.999,370.69,55.0,2.02,,95.06,5413.26,13810.0,-13.6999999,253.628,13.05,,38.9799999,0.8
1983-01-01,,,0.42,104.33,185.0,,,2990.964045,216.12,,-6.0,64.0999999,0.4,3.7,,1289.7,,0.01,,7.0,,23.7899999,1326.1,17.5399999,3.62,,1.98,3.04,,,213.821,2001.752649,17.52,4.4699999,-0.09,135.3,916.0,1144.127082,8.15,149.0,618.0,56.0795242,,60.7000099,37.53,,,68.3599999,,,-192.7899999,60.131,48.2,50.0,490.0,28.0799999,0.52,,31.9499999,70.07081642,1631.008025,-4.0,111.84,-0.4,,,2.3999999,439.0,45.0,0.38,,4.73,8.4199999,17.5,,-23.3999999,5.6399999,,-78.5199999,-0.234,169.65,77.0,1189.58,-18.6999999,416.0,34.8599999,,23.7399999,-0.9,184.3,0.04,,,,0.6,49.1,-326.63,,,3.71,2.5499999,1260.53,3.1499999,24.51,1.37,1.62,2191.599,,,46.1199999,2.47,,793.629598,-95.611,,243.1903365,0.1,1.22,364.435,343.1843506,154.603,29.46,79.4,138.8669999,5.065,38.0,247.0,16.0,76.28590135,0.95,,,,11.1199999,,4943.9,-34.6899999,,,9.1199999,1.6973199,1133.91,,,,0.435,70.9,1622.39,37.5,,81.5,-5.65,282.4850562,286.307726,355.9939999,,,,81.5,209.22,46.0,,,45.5399999,5178.78,11518.0,5.5999999,203.076,0.1311111,,25.73,2.1
1984-01-01,,,0.8,67.14,268.0,,,428.2504914,115.2399999,,-4.9,140.69,-0.55,0.05,,389.37,3.2,0.01,,7.0,,62.1499999,1501.2,1.24,0.8,,1.6699999,1.1899999,,,17.6677,4753.411013,668.24,5.15,9.1899999,77.5999999,1419.0,1287.739696,,199.0,584.0,34.9485189,,55.8340099,21.7399999,,,52.6899999,,,-32.45,-15.3569999,68.5,50.0,729.1399999,12.3599999,2.1699999,,23.3099999,109.7480729,2196.507916,1.0,8.1199999,-1.7,,,2.0,485.0,38.0,0.7,2.29,4.49,4.46,20.4499999,,13.6999999,19.2399999,,42.6899999,-2.749,121.36,88.0,1320.64,12.1999999,-10.0,77.4899999,,10.75,,223.3,-6.03,,,,5.07,36.2,-16.89,,,8.57,27.2899999,797.48,10.07,26.25,8.5299999,4.9299999,1540.999,,,46.99,-2.9199999,,700.9002895,3.444,,116.2138107,7.4444444,1.45,189.1649999,-220.5487744,158.079,55.5099999,-135.5,115.687,0.875,-89.0,137.0,28.0,126.7371792,-14.94,,,,15.07,,4849.86,29.09,,,9.7699999,5.85669,1301.87,,,,1.963,419.5,1771.83,32.6099999,,-70.9,5.0199999,321.6841558,520.496408,411.9939999,,,0.02,113.209,141.4799999,113.0,,,170.24,-347.3199999,25567.0,3.3999999,-775.4539999,0.69,,17.1499999,2.5
1985-01-01,,,0.4,278.0,919.0,,,2098.624894,169.1679354,,-30.1999999,101.33,-6.66,4.8499999,,1051.49,6.0,-0.09,,10.0,,53.6099999,1418.4,16.43,3.6699999,,-1.4299999,0.538567,,,316.2289999,1372.411167,453.98,2.99,53.6499999,144.3,1956.0,-267.2206209,-0.38,342.0,1023.0,12.6896717,,69.84401,29.16,,,57.95,,,69.1899999,124.0987505,36.2,62.0,1177.57,12.4,2.4399999,,12.56989294,87.27301093,2207.831077,0.21,15.1099999,-0.5,,,5.5999999,447.0,61.7999999,1.11,1.4399999,1.81,4.9199999,27.5,,23.6,106.09,,-38.1499999,-1.1599999,163.66,112.3,1071.7,-9.0,608.7131502,24.9499999,,28.85,0.219290588,355.3,7.25,,-1.62,,6.9299999,-16.1999999,119.2399999,,,-0.18,0.52,694.71,2.89,18.9699999,6.98,7.9699999,1983.6,,,19.98,0.33,16.3599999,1615.6922,-281.6669999,,225.3665914,-0.01,-9.38,485.581,-394.6620016,161.2649999,47.4409274,67.2999999,83.3491,7.8689999,1.0,105.0,15.0,190.3749493,7.9699999,,,,14.6199999,,491.42,-18.8999999,,,11.65,-30.957,1046.75,,,,0.675,-448.0,1967.8,24.3999999,,21.3,11.65,429.5750077,1050.412473,159.994,,,0.13,49.6729999,138.9199999,99.0,-4.0,,-220.96,5668.299869,20490.0,-7.9,98.9959999,-0.08,,51.53,2.8999999
1986-01-01,,,5.32,234.0,574.0,,,5369.760089,183.4009078,,-13.1999999,-31.91,2.4399999,7.75,,729.86,8.3,1.1,,13.4,,70.4,317.151,-3.58,-6.0499999,,3.14,1.52403,-0.0087341,,-90.7001999,2852.824757,14.2799999,8.16,28.1999999,315.5,2243.73,1888.31359,0.05,326.0,674.0,22.439692,,60.91901,70.75,,,46.32,,,5.5499999,161.2905219,50.0,80.7322999,1217.43,24.1299999,5.6299999,,12.09317918,285.0334215,2861.5292768,-0.03,110.25,-1.99,,,4.2999999,471.0,68.7999999,8.4,0.82,-9.0,4.82,30.0,,8.5,117.73,,-112.44,0.918,250.2933545,143.4,-171.7599999,-4.5999999,242.1077617,22.75,,32.7299999,0.106285554,682.5,-14.5299999,,,,10.48,-16.5,-176.9199999,,,14.0399999,-2.93,488.87,-8.3699999,21.8799999,4.49,7.4299999,2400.699,0.14,,0.55,1.5,9.0,3355.608263,115.833,,389.4080997,0.06,17.6,193.215,1033.707744,140.321,92.237961,20.3,90.8045999,31.0,22.0,157.0,16.0,200.502921,-1.47,,,,17.5799999,,966.7,-3.7799999,,,14.1999999,-140.311,1710.28,,,,3.101,-49.8999999,3450.6,28.1999999,,-60.3999999,34.1999304,1079.540063,1172.925978,261.9939999,,,0.18,19.917,85.93,125.0,,,110.2099999,8274.73589,36145.0,37.0,-229.389,0.04,,28.32,7.5
1987-01-01,0.4,,3.71,119.0,-19.0,,1.0878757,5190.522203,395.491398,,10.8,-35.8999999,3.21,7.09999995,,2354.92,8.0,0.1,,38.1,,113.58,1169.1,-0.27,-0.07,,1.33,1.36771,2.78614,,115.926,8114.691664,104.7399999,11.9,8.16,890.5,2313.53,6249.829234,-0.09,715.0,319.0,43.4488931,,94.01801,87.51,,,51.96,,,-55.0799999,88.0075785,89.0,122.9002,947.71,18.32,1.6799999,,1.447108195,226.1999657,4899.1990307,-0.09,89.84,1.48,,,4.7,683.0,150.1999999,12.85,0.12,4.3499999,4.6799999,38.6499999,,2.3999999,212.3199999,,-307.63,-4.291,322.4766204,224.0999999,4174.57,53.3999999,1177.422254,39.5,,39.38,0.21916005,838.6,-6.32,,,,1.25,38.5,-97.6299999,,,3.47,0.09,422.68,-5.99,19.39,1.6799999,17.16,2634.599,,,59.57,6.2,-0.17,2583.523816,2.5,,237.2297234,2.41,14.82,610.552,146.0493213,34.8509999,110.0658893,-556.5,93.1788999,8.5,32.0,415.0,12.0,418.5037699,-2.97,,,,17.55,0.24,-1174.9,-2.1,,,19.3999999,39.4095,2836.2,,,,10.483,-190.0999999,4570.7,58.2,,-129.5999999,57.5046811,645.0833065,2178.7968,353.9939999,,,0.05,33.1379999,102.76,115.0,,,46.7199999,14684.78215,59581.0,50.1,477.72,10.3637037,,74.51,30.5
1988-01-01,,,13.02,131.0,1147.0,,12.2640166,8476.377245,445.4270835,,36.7,222.0699999,1.84,11.7294093,,5212.47,14.0,,,31.8999999,,39.92,2805.0,1.48,0.46,,3.71,1.19662,0.597912,,92.3624999,6124.919762,22.43,-3.83,1.29,967.8999999,3193.68,4978.94948,0.35,961.0,203.0,9.0952432,,123.14401,51.7,,,62.1499999,,,-3.9399999,503.7495246,106.0999999,154.4979999,1190.0,16.96,0.5,,35.93752178,441.1134481,7196.6616594,2.0099999,132.52,1.1699999,,,5.0,907.0,329.6999999,15.68,0.68,2.1,10.1,48.2999999,,12.335653,91.25,,60.5399999,-3.383,257.4386831,267.1999999,6801.43,-12.0,-483.8004869,23.73,,0.39,0.256268019,1293.1,16.32,,2.0,,-0.27,290.1499999,97.98,,,2.91,17.44,719.4199999,7.0499999,40.7999999,1.9299999,23.7399999,2879.996,,,84.54,4.5,-1.51,4752.152114,6.6669999,,155.9224319,-0.09,6.91,378.6669999,636.9514714,91.808,133.7165499,-595.1,153.494,6.237,26.0,999.0,15.0,841.8895496,-20.6299999,,,,21.05,0.2,-328.44,1.1799999,,,23.1999999,-23.0885,3654.952743,,,,1.681,161.5,7020.57,43.0,,-171.0,56.8998192,1671.051794,1924.417413,1105.994,,,0.03,62.907,76.17,354.0,4.7,,188.8899999,20566.73247,58571.0,46.7999999,720.176,7.6799999,,93.26,18.5
